year,sgschooling_name,db_name,field,sgschooling_value,db_value
2022,"Alexandra","ALEXANDRA PRIMARY SCHOOL",ballot_type,"SC<1#","SC<1"
2022,"Anchor Green","ANCHOR GREEN PRIMARY SCHOOL",ballot_type,"SC1-2","no_ballot"
2022,"Anchor Green","ANCHOR GREEN PRIMARY SCHOOL",ballot_held,"true","false"
2022,"Angsana","ANGSANA PRIMARY SCHOOL",ballot_type,"SC<1","no_ballot"
2022,"Angsana","ANGSANA PRIMARY SCHOOL",ballot_held,"true","false"
2022,"Canossa Catholic","CANOSSA CATHOLIC PRIMARY SCHOOL",ballot_type,"SC<1","no_ballot"
2022,"Canossa Catholic","CANOSSA CATHOLIC PRIMARY SCHOOL",ballot_held,"true","false"
2022,"Casuarina","CASUARINA PRIMARY SCHOOL",ballot_type,"PR<1","no_ballot"
2022,"Casuarina","CASUARINA PRIMARY SCHOOL",ballot_held,"true","false"
2022,"CHIJ Our Lady of Good Counsel","CHIJ OUR LADY OF GOOD COUNSEL",ballot_type,"SC>2","no_ballot"
2022,"CHIJ Our Lady of Good Counsel","CHIJ OUR LADY OF GOOD COUNSEL",ballot_held,"true","false"
2022,"Clementi","CLEMENTI PRIMARY SCHOOL",ballot_type,"SC>2","no_ballot"
2022,"Clementi","CLEMENTI PRIMARY SCHOOL",ballot_held,"true","false"
2022,"Concord","CONCORD PRIMARY SCHOOL",ballot_type,"SC<1","no_ballot"
2022,"Concord","CONCORD PRIMARY SCHOOL",ballot_held,"true","false"
2022,"Dazhong","DAZHONG PRIMARY SCHOOL",ballot_type,"SC<1","no_ballot"
2022,"Dazhong","DAZHONG PRIMARY SCHOOL",ballot_held,"true","false"
2022,"De La Salle","DE LA SALLE SCHOOL",ballot_type,"SC>2","no_ballot"
2022,"De La Salle","DE LA SALLE SCHOOL",ballot_held,"true","false"
2022,"Edgefield","EDGEFIELD PRIMARY SCHOOL",ballot_type,"SC<1","no_ballot"
2022,"Edgefield","EDGEFIELD PRIMARY SCHOOL",ballot_held,"true","false"
2022,"Fernvale","FERNVALE PRIMARY SCHOOL",ballot_type,"SC<1","no_ballot"
2022,"Fernvale","FERNVALE PRIMARY SCHOOL",ballot_held,"true","false"
2022,"Fuhua","FUHUA PRIMARY SCHOOL",ballot_type,"SC1-2","no_ballot"
2022,"Fuhua","FUHUA PRIMARY SCHOOL",ballot_held,"true","false"
2022,"Greenwood","GREENWOOD PRIMARY SCHOOL",ballot_type,"SC<1","no_ballot"
2022,"Greenwood","GREENWOOD PRIMARY SCHOOL",ballot_held,"true","false"
2022,"Haig Girls’","HAIG GIRLS' SCHOOL",ballot_type,"SC<1#","no_ballot"
2022,"Haig Girls’","HAIG GIRLS' SCHOOL",ballot_held,"true","false"
2022,"Jiemin","JIEMIN PRIMARY SCHOOL",ballot_type,"SC<2#","no_ballot"
2022,"Jiemin","JIEMIN PRIMARY SCHOOL",ballot_held,"true","false"
2022,"Junyuan","JUNYUAN PRIMARY SCHOOL",ballot_type,"SC<1","no_ballot"
2022,"Junyuan","JUNYUAN PRIMARY SCHOOL",ballot_held,"true","false"
2022,"Jurong","JURONG PRIMARY SCHOOL",ballot_type,"SC<1","no_ballot"
2022,"Jurong","JURONG PRIMARY SCHOOL",ballot_held,"true","false"
2022,"Kheng Cheng","KHENG CHENG SCHOOL",ballot_type,"SC<1#","no_ballot"
2022,"Kheng Cheng","KHENG CHENG SCHOOL",ballot_held,"true","false"
2022,"North View","NORTH VIEW PRIMARY SCHOOL",ballot_type,"SC<1","no_ballot"
2022,"North View","NORTH VIEW PRIMARY SCHOOL",ballot_held,"true","false"
2022,"Paya Lebar Methodist Girls’","PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY)",ballot_type,"SC<1#","SC<1"
2022,"Peiying","PEIYING PRIMARY SCHOOL",ballot_type,"SC1-2","no_ballot"
2022,"Peiying","PEIYING PRIMARY SCHOOL",ballot_held,"true","false"
2022,"Punggol Cove","PUNGGOL COVE PRIMARY SCHOOL",ballot_type,"SC<1","no_ballot"
2022,"Punggol Cove","PUNGGOL COVE PRIMARY SCHOOL",ballot_held,"true","false"
2022,"Queenstown","QUEENSTOWN PRIMARY SCHOOL",ballot_type,"SC<1","no_ballot"
2022,"Queenstown","QUEENSTOWN PRIMARY SCHOOL",ballot_held,"true","false"
2022,"Springdale","SPRINGDALE PRIMARY SCHOOL",ballot_type,"SC<1","no_ballot"
2022,"Springdale","SPRINGDALE PRIMARY SCHOOL",ballot_held,"true","false"
2022,"St. Anthony’s","ST. ANTHONY'S PRIMARY SCHOOL",ballot_type,"SC<1#","SC<1"
2022,"Tampines","TAMPINES PRIMARY SCHOOL",ballot_type,"SC<1","no_ballot"
2022,"Tampines","TAMPINES PRIMARY SCHOOL",ballot_held,"true","false"
2022,"Telok Kurau","TELOK KURAU PRIMARY SCHOOL",ballot_type,"SC<1","no_ballot"
2022,"Telok Kurau","TELOK KURAU PRIMARY SCHOOL",ballot_held,"true","false"
2022,"West Grove","WEST GROVE PRIMARY SCHOOL",ballot_type,"SC#","no_ballot"
2022,"West Grove","WEST GROVE PRIMARY SCHOOL",ballot_held,"true","false"
2022,"Xishan","XISHAN PRIMARY SCHOOL",ballot_type,"SC1-2","no_ballot"
2022,"Xishan","XISHAN PRIMARY SCHOOL",ballot_held,"true","false"
2022,"Zhangde","ZHANGDE PRIMARY SCHOOL",ballot_type,"SC<1","no_ballot"
2022,"Zhangde","ZHANGDE PRIMARY SCHOOL",ballot_held,"true","false"
2022,"Zhenghua","ZHENGHUA PRIMARY SCHOOL",ballot_type,"SC>2","no_ballot"
2022,"Zhenghua","ZHENGHUA PRIMARY SCHOOL",ballot_held,"true","false"
2023,"Bukit Timah","BUKIT TIMAH PRIMARY SCHOOL",ballot_type,"SC1-2","no_ballot"
2023,"Bukit Timah","BUKIT TIMAH PRIMARY SCHOOL",ballot_held,"true","false"
2023,"Casuarina","CASUARINA PRIMARY SCHOOL",ballot_type,"SC1-2","no_ballot"
2023,"Casuarina","CASUARINA PRIMARY SCHOOL",ballot_held,"true","false"
2023,"CHIJ (Katong)","CHIJ (KATONG) PRIMARY",ballot_type,"SC>2","no_ballot"
2023,"CHIJ (Katong)","CHIJ (KATONG) PRIMARY",ballot_held,"true","false"
2023,"Concord","CONCORD PRIMARY SCHOOL",ballot_type,"SC<1","no_ballot"
2023,"Concord","CONCORD PRIMARY SCHOOL",ballot_held,"true","false"
2023,"Dazhong","DAZHONG PRIMARY SCHOOL",ballot_type,"SC<1","no_ballot"
2023,"Dazhong","DAZHONG PRIMARY SCHOOL",ballot_held,"true","false"
2023,"De La Salle","DE LA SALLE SCHOOL",ballot_type,"SC#","no_ballot"
2023,"De La Salle","DE LA SALLE SCHOOL",ballot_held,"true","false"
2023,"Fengshan","FENGSHAN PRIMARY SCHOOL",ballot_type,"SC<1","no_ballot"
2023,"Fengshan","FENGSHAN PRIMARY SCHOOL",ballot_held,"true","false"
2023,"Fernvale","FERNVALE PRIMARY SCHOOL",ballot_type,"SC<1","no_ballot"
2023,"Fernvale","FERNVALE PRIMARY SCHOOL",ballot_held,"true","false"
2023,"Jing Shan","JING SHAN PRIMARY SCHOOL",ballot_type,"PR<1#","PR<1"
2023,"Junyuan","JUNYUAN PRIMARY SCHOOL",ballot_type,"SC<1","no_ballot"
2023,"Junyuan","JUNYUAN PRIMARY SCHOOL",ballot_held,"true","false"
2023,"Jurong","JURONG PRIMARY SCHOOL",ballot_type,"SC1-2","no_ballot"
2023,"Jurong","JURONG PRIMARY SCHOOL",ballot_held,"true","false"
2023,"Kheng Cheng","KHENG CHENG SCHOOL",ballot_type,"SC<1","no_ballot"
2023,"Kheng Cheng","KHENG CHENG SCHOOL",ballot_held,"true","false"
2023,"Lakeside","LAKESIDE PRIMARY SCHOOL",ballot_type,"SC<1","no_ballot"
2023,"Lakeside","LAKESIDE PRIMARY SCHOOL",ballot_held,"true","false"
2023,"Palm View","PALM VIEW PRIMARY SCHOOL",ballot_type,"SC1-2","no_ballot"
2023,"Palm View","PALM VIEW PRIMARY SCHOOL",ballot_held,"true","false"
2023,"Park View","PARK VIEW PRIMARY SCHOOL",ballot_type,"PR<1#","no_ballot"
2023,"Park View","PARK VIEW PRIMARY SCHOOL",ballot_held,"true","false"
2023,"Peiying","PEIYING PRIMARY SCHOOL",ballot_type,"SC1-2","no_ballot"
2023,"Peiying","PEIYING PRIMARY SCHOOL",ballot_held,"true","false"
2023,"Punggol Cove","PUNGGOL COVE PRIMARY SCHOOL",ballot_type,"PR<1","no_ballot"
2023,"Punggol Cove","PUNGGOL COVE PRIMARY SCHOOL",ballot_held,"true","false"
2023,"Punggol View","PUNGGOL VIEW PRIMARY SCHOOL",ballot_type,"SC1-2","no_ballot"
2023,"Punggol View","PUNGGOL VIEW PRIMARY SCHOOL",ballot_held,"true","false"
2023,"Sembawang","SEMBAWANG PRIMARY SCHOOL",ballot_type,"SC1-2","no_ballot"
2023,"Sembawang","SEMBAWANG PRIMARY SCHOOL",ballot_held,"true","false"
2023,"Springdale","SPRINGDALE PRIMARY SCHOOL",ballot_type,"SC<1","no_ballot"
2023,"Springdale","SPRINGDALE PRIMARY SCHOOL",ballot_held,"true","false"
2023,"St. Gabriel’s","ST. GABRIEL'S PRIMARY SCHOOL",ballot_type,"SC>2","no_ballot"
2023,"St. Gabriel’s","ST. GABRIEL'S PRIMARY SCHOOL",ballot_held,"true","false"
2023,"St. Margaret’s","ST. MARGARET'S SCHOOL (PRIMARY)",ballot_type,"PR>2","no_ballot"
2023,"St. Margaret’s","ST. MARGARET'S SCHOOL (PRIMARY)",ballot_held,"true","false"
2023,"Tampines North","TAMPINES NORTH PRIMARY SCHOOL",ballot_type,"SC1-2","no_ballot"
2023,"Tampines North","TAMPINES NORTH PRIMARY SCHOOL",ballot_held,"true","false"
2023,"Tampines","TAMPINES PRIMARY SCHOOL",ballot_type,"SC<1","no_ballot"
2023,"Tampines","TAMPINES PRIMARY SCHOOL",ballot_held,"true","false"
2023,"Teck Ghee","TECK GHEE PRIMARY SCHOOL",ballot_type,"SC#","no_ballot"
2023,"Teck Ghee","TECK GHEE PRIMARY SCHOOL",ballot_held,"true","false"
2023,"Woodgrove","WOODGROVE PRIMARY SCHOOL",ballot_type,"SC<1#","no_ballot"
2023,"Woodgrove","WOODGROVE PRIMARY SCHOOL",ballot_held,"true","false"
2023,"Xishan","XISHAN PRIMARY SCHOOL",ballot_type,"PR<1","no_ballot"
2023,"Xishan","XISHAN PRIMARY SCHOOL",ballot_held,"true","false"
2023,"Zhangde","ZHANGDE PRIMARY SCHOOL",ballot_type,"SC<1","no_ballot"
2023,"Zhangde","ZHANGDE PRIMARY SCHOOL",ballot_held,"true","false"
2023,"Zhenghua","ZHENGHUA PRIMARY SCHOOL",ballot_type,"SC1-2","no_ballot"
2023,"Zhenghua","ZHENGHUA PRIMARY SCHOOL",ballot_held,"true","false"
2024,"Bukit View","BUKIT VIEW PRIMARY SCHOOL",ballot_type,"PR<1#","no_ballot"
2024,"Bukit View","BUKIT VIEW PRIMARY SCHOOL",ballot_held,"true","false"
2024,"CHIJ Our Lady of Good Counsel","CHIJ OUR LADY OF GOOD COUNSEL",ballot_type,"PR<2#","no_ballot"
2024,"CHIJ Our Lady of Good Counsel","CHIJ OUR LADY OF GOOD COUNSEL",ballot_held,"true","false"
2024,"Concord","CONCORD PRIMARY SCHOOL",ballot_type,"SC1-2","no_ballot"
2024,"Concord","CONCORD PRIMARY SCHOOL",ballot_held,"true","false"
2024,"De La Salle","DE LA SALLE SCHOOL",ballot_type,"SC>2","no_ballot"
2024,"De La Salle","DE LA SALLE SCHOOL",ballot_held,"true","false"
2024,"Evergreen","EVERGREEN PRIMARY SCHOOL",ballot_type,"SC1-2","no_ballot"
2024,"Evergreen","EVERGREEN PRIMARY SCHOOL",ballot_held,"true","false"
2024,"Fern Green","FERN GREEN PRIMARY SCHOOL",ballot_type,"SC<1","no_ballot"
2024,"Fern Green","FERN GREEN PRIMARY SCHOOL",ballot_held,"true","false"
2024,"Fernvale","FERNVALE PRIMARY SCHOOL",ballot_type,"SC>2","no_ballot"
2024,"Fernvale","FERNVALE PRIMARY SCHOOL",ballot_held,"true","false"
2024,"Geylang Methodist","GEYLANG METHODIST SCHOOL (PRIMARY)",ballot_type,"SC>2","no_ballot"
2024,"Geylang Methodist","GEYLANG METHODIST SCHOOL (PRIMARY)",ballot_held,"true","false"
2024,"Jurong West","JURONG WEST PRIMARY SCHOOL",ballot_type,"SC<1","no_ballot"
2024,"Jurong West","JURONG WEST PRIMARY SCHOOL",ballot_held,"true","false"
2024,"Kheng Cheng","KHENG CHENG SCHOOL",ballot_type,"SC#","no_ballot"
2024,"Kheng Cheng","KHENG CHENG SCHOOL",ballot_held,"true","false"
